,# Triangles,Avg. Triangle Size,Image Resolution,CPUs,Raster Mode,HOM Enabled,Runtime (ms)
407,256,0.01,512,16,2,1,13.9886
408,256,0.01,512,32,0,0,45.1705
409,256,0.01,512,32,0,1,72.1217
410,256,0.01,512,32,1,0,6.43164
411,256,0.01,512,32,1,1,20.9934
412,256,0.01,512,32,2,0,4.75283
413,256,0.01,512,32,2,1,21.0274
414,256,0.01,512,64,0,0,48.9384
415,256,0.01,512,64,0,1,112.048
416,256,0.01,512,64,1,0,14.195
417,256,0.01,512,64,1,1,61.2771
418,256,0.01,512,64,2,0,13.2532
419,256,0.01,512,64,2,1,65.2713
420,256,0.01,1024,1,0,0,1536.47
421,256,0.01,1024,1,0,1,1644.27
422,256,0.01,1024,1,1,0,74.9457
423,256,0.01,1024,1,1,1,119.154
424,256,0.01,1024,1,2,0,25.9355
425,256,0.01,1024,1,2,1,49.4928
426,256,0.01,1024,2,0,0,791.325
427,256,0.01,1024,2,0,1,1025.83
428,256,0.01,1024,2,1,0,55.7321
429,256,0.01,1024,2,1,1,77.9508
430,256,0.01,1024,2,2,0,20.1385
431,256,0.01,1024,2,2,1,46.7377
432,256,0.01,1024,4,0,0,453.195
433,256,0.01,1024,4,0,1,573.64
434,256,0.01,1024,4,1,0,29.9347
435,256,0.01,1024,4,1,1,48.1153
436,256,0.01,1024,4,2,0,15.2004
437,256,0.01,1024,4,2,1,29.4849
438,256,0.01,1024,8,0,0,272.784
439,256,0.01,1024,8,0,1,337.762
440,256,0.01,1024,8,1,0,18.7387
441,256,0.01,1024,8,1,1,31.2432
442,256,0.01,1024,8,2,0,9.35717
443,256,0.01,1024,8,2,1,20.2349
444,256,0.01,1024,16,0,0,152.592
445,256,0.01,1024,16,0,1,297.06
446,256,0.01,1024,16,1,0,11.375
447,256,0.01,1024,16,1,1,24.5443
448,256,0.01,1024,16,2,0,5.83072
449,256,0.01,1024,16,2,1,17.6765
450,256,0.01,1024,32,0,0,152.952
451,256,0.01,1024,32,0,1,241.939
452,256,0.01,1024,32,1,0,15.6775
453,256,0.01,1024,32,1,1,27.6919
454,256,0.01,1024,32,2,0,8.27541
455,256,0.01,1024,32,2,1,22.2039
456,256,0.01,1024,64,0,0,126.739
457,256,0.01,1024,64,0,1,358.397
458,256,0.01,1024,64,1,0,20.3284
459,256,0.01,1024,64,1,1,45.671
460,256,0.01,1024,64,2,0,14.2473
461,256,0.01,1024,64,2,1,53.3639
462,256,0.01,2048,1,0,0,6027.94
463,256,0.01,2048,1,0,1,6356.49
464,256,0.01,2048,1,1,0,394.91
465,256,0.01,2048,1,1,1,539.452
466,256,0.01,2048,1,2,0,98.008
467,256,0.01,2048,1,2,1,131.805
468,256,0.01,2048,2,0,0,3176.78
469,256,0.01,2048,2,0,1,3801.28
470,256,0.01,2048,2,1,0,232.692
471,256,0.01,2048,2,1,1,320.959
472,256,0.01,2048,2,2,0,74.4683
473,256,0.01,2048,2,2,1,112.311
474,256,0.01,2048,4,0,0,1717.44
475,256,0.01,2048,4,0,1,1920.84
476,256,0.01,2048,4,1,0,131.021
477,256,0.01,2048,4,1,1,188.718
478,256,0.01,2048,4,2,0,43.3846
479,256,0.01,2048,4,2,1,65.7211
480,256,0.01,2048,8,0,0,949.416
481,256,0.01,2048,8,0,1,1204.9
482,256,0.01,2048,8,1,0,73.0855
483,256,0.01,2048,8,1,1,111.222
484,256,0.01,2048,8,2,0,28.1773
485,256,0.01,2048,8,2,1,41.5906
486,256,0.01,2048,16,0,0,526.354
487,256,0.01,2048,16,0,1,777.817
488,256,0.01,2048,16,1,0,39.5165
489,256,0.01,2048,16,1,1,81.2214
490,256,0.01,2048,16,2,0,23.3491
491,256,0.01,2048,16,2,1,32.8172
492,256,0.01,2048,32,0,0,505.019
493,256,0.01,2048,32,0,1,743.983
494,256,0.01,2048,32,1,0,39.578
495,256,0.01,2048,32,1,1,71.2831
496,256,0.01,2048,32,2,0,26.0903
497,256,0.01,2048,32,2,1,34.2754
498,256,0.01,2048,64,0,0,318.051
499,256,0.01,2048,64,0,1,900.262
500,256,0.01,2048,64,1,0,38.3214
501,256,0.01,2048,64,1,1,75.103
502,256,0.01,2048,64,2,0,30.9071
503,256,0.01,2048,64,2,1,72.9496
504,2048,1e-06,256,1,0,0,755.522
505,2048,1e-06,256,1,0,1,873.703
506,2048,1e-06,256,1,1,0,0.086312
507,2048,1e-06,256,1,1,1,151.429
508,2048,1e-06,256,1,2,0,0.119143
509,2048,1e-06,256,1,2,1,150.794
510,2048,1e-06,256,2,0,0,462.012
511,2048,1e-06,256,2,0,1,476.169
512,2048,1e-06,256,2,1,0,0.136678
513,2048,1e-06,256,2,1,1,114.434
514,2048,1e-06,256,2,2,0,0.126492
515,2048,1e-06,256,2,2,1,111.352
